Period,Type of tourist,Overnight Stays,Frequency
2021,Inbound,1897.517,Annual
2021,Domestic,30082.489,Annual
2021,Inbound,2374.947,Annual
2021,Domestic,18998.504,Annual
2021,Inbound,5024.976,Annual
2021,Domestic,23105.432,Annual
2021,Inbound,4908.785,Annual
2021,Domestic,31474.733,Annual
2021,Inbound,7360.168,Annual
2021,Domestic,21018.084,Annual
2022,Inbound,10615.027,Annual
2022,Domestic,34353.371,Annual
2022,Inbound,13206.486,Annual
2022,Domestic,28567.286,Annual
2022,Inbound,20215.55,Annual
2022,Domestic,28204.451,Annual
2022,Inbound,29395.953,Annual
2022,Domestic,40267.752,Annual
2022,Inbound,16545.273,Annual
2022,Domestic,31569.091,Annual
2022,Inbound,12055.404,Annual
2022,Domestic,18237.189,Annual
2022,Inbound,18939.346,Annual
2022,Domestic,71350.669,Annual
2022,Inbound,22314.547,Annual
2022,Domestic,34453.184,Annual
2022,Inbound,30331.272,Annual
2022,Domestic,16913.878,Annual
2022,Inbound,30483.525,Annual
2022,Domestic,19286.564,Annual
2022,Inbound,29667.311,Annual
2022,Domestic,29206.442,Annual
2022,Inbound,36958.487,Annual
2022,Domestic,17196.516,Annual
2023,Inbound,35031.946,Annual
2023,Domestic,34512.713,Annual
2023,Inbound,35628.208,Annual
2023,Domestic,29355.861,Annual
2023,Inbound,56788.224,Annual
2023,Domestic,35352.724,Annual
2023,Inbound,42783.599,Annual
2023,Domestic,38119.51,Annual
2023,Inbound,31927.199,Annual
2023,Domestic,27151.761,Annual
2023,Inbound,59436.324,Annual
2023,Domestic,77842.617,Annual
2023,Inbound,16326.708,Annual
2023,Domestic,57518.104,Annual
2023,Inbound,26729.514,Annual
2023,Domestic,37989.517,Annual
2023,Inbound,28142.271,Annual
2023,Domestic,34493.628,Annual
2023,Inbound,30203.404,Annual
2023,Domestic,39443.452,Annual
2023,Inbound,34673.36,Annual
2023,Domestic,49168.161,Annual
2023,Inbound,34628.588,Annual
2023,Domestic,34393.136,Annual
2024,Inbound,45840.491,Annual
2024,Domestic,41292.064,Annual
2024,Inbound,50816.132,Annual
2024,Domestic,40587.636,Annual
2024,Inbound,66453.818,Annual
2024,Domestic,44765.249,Annual
2024,Inbound,35516.025,Annual
2024,Domestic,41380.913,Annual
2024,Inbound,41832.171,Annual
2024,Domestic,33300.628,Annual
2024,Inbound,75612.2,Annual
2024,Domestic,101339.809,Annual
2024,Inbound,35711.261,Annual
2024,Domestic,51037.516,Annual
2024,Inbound,36346.563,Annual
2024,Domestic,35903.973,Annual
2024,Inbound,37072.805,Annual
2024,Domestic,33423.551,Annual
2024,Inbound,43096.04,Annual
2024,Domestic,30939.337,Annual
