Period,Trip Purpose,Type of tourist,Tourists,Frequency
2016,Visiting Friends & Relatives,Inbound,165.39197997925837,Annual
2016,Other,Inbound,36.819382844353015,Annual
2016,Religious,Inbound,390.4375473074557,Annual
2016,Leisure,Inbound,64.48618425287994,Annual
2016,Business,Inbound,189.1325049916312,Annual
2016,Visiting Friends & Relatives,Inbound,165.57374596789367,Annual
2016,Other,Inbound,37.00778166731899,Annual
2016,Religious,Inbound,892.472869348567,Annual
2016,Leisure,Inbound,97.61149206161912,Annual
2016,Business,Inbound,861.2151646362316,Annual
2016,Visiting Friends & Relatives,Inbound,233.8539925170082,Annual
2016,Other,Inbound,135.82517167577126,Annual
2017,Religious,Inbound,841.224010241874,Annual
2017,Leisure,Inbound,93.906647867195,Annual
2017,Business,Inbound,250.6963211300381,Annual
2017,Visiting Friends & Relatives,Inbound,253.60323427398924,Annual
2017,Other,Inbound,65.473213943733,Annual
2017,Religious,Inbound,755.4328050348198,Annual
2017,Leisure,Inbound,74.17138027591994,Annual
2017,Business,Inbound,209.594103219891,Annual
2017,Visiting Friends & Relatives,Inbound,220.8157235490389,Annual
2017,Other,Inbound,40.602012632789005,Annual
2017,Religious,Inbound,935.911270559818,Annual
2017,Leisure,Inbound,69.21145467042595,Annual
2017,Business,Inbound,224.95873335014312,Annual
2017,Visiting Friends & Relatives,Inbound,217.89427136153165,Annual
2017,Other,Inbound,37.48226790009196,Annual
2017,Religious,Inbound,1238.356129245995,Annual
2017,Leisure,Inbound,81.78962398473791,Annual
2017,Business,Inbound,213.4948725336168,Annual
2017,Visiting Friends & Relatives,Inbound,220.35906378982176,Annual
2017,Other,Inbound,37.17549341042297,Annual
2017,Religious,Inbound,1017.0974377766915,Annual
2017,Leisure,Inbound,77.44263346109508,Annual
2017,Business,Inbound,232.81264452619584,Annual
2017,Visiting Friends & Relatives,Inbound,221.33617215512504,Annual
2017,Other,Inbound,40.00734268737702,Annual
2017,Religious,Inbound,807.6170013512642,Annual
2017,Leisure,Inbound,77.73455669478999,Annual
2017,Business,Inbound,184.7636268123352,Annual
2017,Visiting Friends & Relatives,Inbound,242.72852366031088,Annual
2017,Other,Inbound,37.979870638367046,Annual
2017,Religious,Inbound,34.215760086774004,Annual
2017,Leisure,Inbound,71.80788428078007,Annual
2017,Business,Inbound,139.53189681680203,Annual
2017,Visiting Friends & Relatives,Inbound,173.1025284534275,Annual
2017,Other,Inbound,33.20957446803302,Annual
2017,Religious,Inbound,32.355262634280024,Annual
2017,Leisure,Inbound,91.83725904603403,Annual
2017,Business,Inbound,177.50212851790553,Annual
2017,Visiting Friends & Relatives,Inbound,205.4844115181465,Annual
2017,Other,Inbound,44.09456313874901,Annual
2017,Religious,Inbound,1754.6707711444062,Annual
2017,Leisure,Inbound,56.66581592308808,Annual
2017,Business,Inbound,192.92489017487776,Annual
2017,Visiting Friends & Relatives,Inbound,171.64645706017356,Annual
2017,Other,Inbound,14.461382477307009,Annual
2017,Religious,Inbound,232.8833962395532,Annual
2017,Leisure,Inbound,50.052432481968005,Annual
2017,Business,Inbound,156.66879932442217,Annual
2017,Visiting Friends & Relatives,Inbound,207.6923329594788,Annual
2017,Other,Inbound,32.78287994042901,Annual
2017,Religious,Inbound,722.5260023543009,Annual
2017,Leisure,Inbound,55.52125776660504,Annual
2017,Business,Inbound,556.0183170939561,Annual
2017,Visiting Friends & Relatives,Inbound,457.5895567513157,Annual
2017,Other,Inbound,41.05898437255801,Annual
2017,Religious,Inbound,914.7344764422352,Annual
2017,Leisure,Inbound,54.41875196065603,Annual
2017,Business,Inbound,155.99009526143178,Annual
2017,Visiting Friends & Relatives,Inbound,224.23738414246924,Annual
2017,Other,Inbound,31.610001068529023,Annual
2018,Religious,Inbound,816.6845606479229,Annual
2018,Leisure,Inbound,82.32467436458694,Annual
2018,Business,Inbound,236.4537728656024,Annual
2018,Visiting Friends & Relatives,Inbound,218.30456518196883,Annual
2018,Other,Inbound,37.13217811007887,Annual
2018,Religious,Inbound,750.9907053380125,Annual
2018,Leisure,Inbound,55.29766904608862,Annual
2018,Business,Inbound,210.8724661398812,Annual
2018,Visiting Friends & Relatives,Inbound,136.40352091699725,Annual
2018,Other,Inbound,28.58680907185932,Annual
2018,Religious,Inbound,1021.576857528254,Annual
2018,Leisure,Inbound,59.70119559957727,Annual
2018,Business,Inbound,186.91891803751923,Annual
2018,Visiting Friends & Relatives,Inbound,195.7329094080456,Annual
2018,Other,Inbound,32.352652914234646,Annual
2018,Religious,Inbound,1045.1143050101757,Annual
2018,Leisure,Inbound,63.89203652998874,Annual
2018,Business,Inbound,186.35675061344884,Annual
2018,Visiting Friends & Relatives,Inbound,184.7500614576496,Annual
2018,Other,Inbound,31.11352794571461,Annual
2018,Religious,Inbound,1090.4170838953196,Annual
2018,Leisure,Inbound,65.53071327009708,Annual
2018,Business,Inbound,210.459000142659,Annual
2018,Visiting Friends & Relatives,Inbound,217.92968493625847,Annual
2018,Other,Inbound,35.12528917665702,Annual
2018,Religious,Inbound,477.98116709551175,Annual
2018,Leisure,Inbound,77.9674682932207,Annual
2018,Business,Inbound,204.43760613236387,Annual
2018,Visiting Friends & Relatives,Inbound,269.7843024025812,Annual
2018,Other,Inbound,39.49246330404704,Annual
2018,Religious,Inbound,35.462405598199986,Annual
2018,Leisure,Inbound,79.9552366327959,Annual
2018,Business,Inbound,256.1569312267561,Annual
2018,Visiting Friends & Relatives,Inbound,235.59951371961807,Annual
2018,Other,Inbound,33.690123526511954,Annual
2018,Religious,Inbound,1791.4989948064626,Annual
2018,Leisure,Inbound,98.58930540966496,Annual
2018,Business,Inbound,245.00504372618823,Annual
2018,Visiting Friends & Relatives,Inbound,261.7145161660207,Annual
2018,Other,Inbound,46.81885788969804,Annual
2018,Religious,Inbound,91.91277452489489,Annual
2018,Leisure,Inbound,45.76460507139696,Annual
2018,Business,Inbound,216.57064601752896,Annual
2018,Visiting Friends & Relatives,Inbound,142.99981740403138,Annual
2018,Other,Inbound,12.136293764245996,Annual
