"Month","Trip Purpose","Type of tourist","Tourists"
"2016-11","Visiting Friends & Relatives","Inbound",165.57374596789367
"2016-11","Other","Inbound",37.00778166731899
"2016-12","Religious","Inbound",892.472869348567
"2016-12","Leisure","Inbound",97.61149206161912
"2016-12","Business","Inbound",861.2151646362316
"2016-12","Visiting Friends & Relatives","Inbound",233.8539925170082
"2016-12","Other","Inbound",135.82517167577126
"2017-01","Religious","Inbound",841.224010241874
"2017-01","Leisure","Inbound",93.906647867195
"2017-01","Business","Inbound",250.69632113003806
"2017-01","Visiting Friends & Relatives","Inbound",253.60323427398924
"2017-01","Other","Inbound",65.473213943733
"2017-02","Religious","Inbound",755.4328050348198
"2017-02","Leisure","Inbound",74.17138027591994
"2017-02","Business","Inbound",209.594103219891
"2017-02","Visiting Friends & Relatives","Inbound",220.81572354903886
"2017-02","Other","Inbound",40.602012632789005
"2017-03","Religious","Inbound",935.9112705598179
"2017-03","Leisure","Inbound",69.21145467042595
"2017-03","Business","Inbound",224.95873335014312
"2017-03","Visiting Friends & Relatives","Inbound",217.89427136153165
"2017-03","Other","Inbound",37.482267900091955
"2017-04","Religious","Inbound",1238.356129245995
"2017-04","Leisure","Inbound",81.78962398473791
"2017-04","Business","Inbound",213.49487253361676
"2017-04","Visiting Friends & Relatives","Inbound",220.35906378982176
"2017-04","Other","Inbound",37.17549341042297
"2017-05","Religious","Inbound",1017.0974377766917
"2017-05","Leisure","Inbound",77.44263346109508
"2017-05","Business","Inbound",232.81264452619584
"2017-05","Visiting Friends & Relatives","Inbound",221.33617215512504
"2017-05","Other","Inbound",40.00734268737702
"2017-06","Religious","Inbound",807.6170013512642
"2017-06","Leisure","Inbound",77.73455669478999
"2017-06","Business","Inbound",184.76362681233516
"2017-06","Visiting Friends & Relatives","Inbound",242.72852366031086
"2017-06","Other","Inbound",37.979870638367046
"2017-07","Religious","Inbound",34.215760086774004
"2017-07","Leisure","Inbound",71.80788428078007
"2017-07","Business","Inbound",139.53189681680203
"2017-07","Visiting Friends & Relatives","Inbound",173.1025284534275
"2017-07","Other","Inbound",33.20957446803302
"2017-08","Religious","Inbound",32.355262634280024
"2017-08","Leisure","Inbound",91.83725904603403
"2017-08","Business","Inbound",177.50212851790553
"2017-08","Visiting Friends & Relatives","Inbound",205.4844115181465
"2017-08","Other","Inbound",44.09456313874901
"2017-09","Religious","Inbound",1754.6707711444062
"2017-09","Leisure","Inbound",56.665815923088076
"2017-09","Business","Inbound",192.92489017487776
"2017-09","Visiting Friends & Relatives","Inbound",171.64645706017356
"2017-09","Other","Inbound",14.461382477307007
"2017-10","Religious","Inbound",232.8833962395532
"2017-10","Leisure","Inbound",50.052432481968005
"2017-10","Business","Inbound",156.66879932442217
"2017-10","Visiting Friends & Relatives","Inbound",207.6923329594788
"2017-10","Other","Inbound",32.78287994042901
"2017-11","Religious","Inbound",722.5260023543009
"2017-11","Leisure","Inbound",55.52125776660504
"2017-11","Business","Inbound",556.0183170939561
"2017-11","Visiting Friends & Relatives","Inbound",457.5895567513157
"2017-11","Other","Inbound",41.05898437255801
"2017-12","Religious","Inbound",914.7344764422353
"2017-12","Leisure","Inbound",54.41875196065603
"2017-12","Business","Inbound",155.99009526143178
"2017-12","Visiting Friends & Relatives","Inbound",224.23738414246924
"2017-12","Other","Inbound",31.610001068529026
"2018-01","Religious","Inbound",816.6845606479229
"2018-01","Leisure","Inbound",82.32467436458694
"2018-01","Business","Inbound",236.4537728656024
"2018-01","Visiting Friends & Relatives","Inbound",218.30456518196883
"2018-01","Other","Inbound",37.13217811007887
"2018-02","Religious","Inbound",750.9907053380125
"2018-02","Leisure","Inbound",55.29766904608862
"2018-02","Business","Inbound",210.87246613988114
"2018-02","Visiting Friends & Relatives","Inbound",136.40352091699725
"2018-02","Other","Inbound",28.586809071859314
"2018-03","Religious","Inbound",1021.5768575282541
"2018-03","Leisure","Inbound",59.70119559957727
"2018-03","Business","Inbound",186.91891803751923
"2018-03","Visiting Friends & Relatives","Inbound",195.73290940804557
"2018-03","Other","Inbound",32.352652914234646
"2018-04","Religious","Inbound",1045.1143050101755
"2018-04","Leisure","Inbound",63.892036529988744
"2018-04","Business","Inbound",186.35675061344884
"2018-04","Visiting Friends & Relatives","Inbound",184.75006145764962
"2018-04","Other","Inbound",31.113527945714612
"2018-05","Religious","Inbound",1090.4170838953196
"2018-05","Leisure","Inbound",65.53071327009708
"2018-05","Business","Inbound",210.459000142659
"2018-05","Visiting Friends & Relatives","Inbound",217.92968493625855
"2018-05","Other","Inbound",35.12528917665702
"2018-06","Religious","Inbound",477.98116709551175
"2018-06","Leisure","Inbound",77.9674682932207
"2018-06","Business","Inbound",204.43760613236387
"2018-06","Visiting Friends & Relatives","Inbound",269.7843024025812
"2018-06","Other","Inbound",39.492463304047035
"2018-07","Religious","Inbound",35.462405598199986
"2018-07","Leisure","Inbound",79.9552366327959
"2018-07","Business","Inbound",256.1569312267561
"2018-07","Visiting Friends & Relatives","Inbound",235.59951371961807
"2018-07","Other","Inbound",33.690123526511954
"2018-08","Religious","Inbound",1791.4989948064626
"2018-08","Leisure","Inbound",98.58930540966496
"2018-08","Business","Inbound",245.00504372618826
"2018-08","Visiting Friends & Relatives","Inbound",261.7145161660207
"2018-08","Other","Inbound",46.81885788969804
"2018-09","Religious","Inbound",91.91277452489489
"2018-09","Leisure","Inbound",45.76460507139696
"2018-09","Business","Inbound",216.57064601752896
"2018-09","Visiting Friends & Relatives","Inbound",142.99981740403138
"2018-09","Other","Inbound",12.136293764245996
"2018-10","Religious","Inbound",514.7963844313778
"2018-10","Leisure","Inbound",65.21974163444501
"2018-10","Business","Inbound",170.3138470494848
"2018-10","Visiting Friends & Relatives","Inbound",124.4054870934773
"2018-10","Other","Inbound",28.160895233752637
"2018-11","Religious","Inbound",720.0651867174481
"2018-11","Leisure","Inbound",68.72041548229103
"2018-11","Business","Inbound",144.99380386343344
"2018-11","Visiting Friends & Relatives","Inbound",167.33806465474365
"2018-11","Other","Inbound",39.77438904226062
"2018-12","Religious","Inbound",936.764914024198
"2018-12","Leisure","Inbound",112.09796593549203
"2018-12","Business","Inbound",182.14483967004375
"2018-12","Visiting Friends & Relatives","Inbound",150.22541289242153
"2018-12","Other","Inbound",45.75362867329066
"2019-01","Religious","Inbound",973.3781883367441
"2019-01","Leisure","Inbound",99.52036180226001
"2019-01","Business","Inbound",253.15888870709708
"2019-01","Visiting Friends & Relatives","Inbound",261.7548622298577
"2019-01","Other","Inbound",65.53102325360302
"2019-02","Religious","Inbound",918.1996904191458
"2019-02","Leisure","Inbound",89.94468189767672
"2019-02","Business","Inbound",226.19910624362666
"2019-02","Visiting Friends & Relatives","Inbound",207.0080826167791
"2019-02","Other","Inbound",50.562737127534
"2019-03","Religious","Inbound",1043.6411886768667
"2019-03","Leisure","Inbound",41.15251736745335
"2019-03","Business","Inbound",237.6357633426068
"2019-03","Visiting Friends & Relatives","Inbound",222.81066583082185
"2019-03","Other","Inbound",54.02301157122376
"2019-04","Religious","Inbound",1036.0983027028512
"2019-04","Leisure","Inbound",72.46997721758987
"2019-04","Business","Inbound",265.7093980994767
"2019-04","Visiting Friends & Relatives","Inbound",220.87018893873892
"2019-04","Other","Inbound",55.28765922942019
"2019-05","Religious","Inbound",1380.1250526924002
"2019-05","Leisure","Inbound",86.95346410988022
"2019-05","Business","Inbound",267.35046326330934
"2019-05","Visiting Friends & Relatives","Inbound",281.1847171292406
"2019-05","Other","Inbound",63.825660239729025
"2019-06","Religious","Inbound",245.87291995378487
"2019-06","Leisure","Inbound",79.7945110232363
"2019-06","Business","Inbound",278.4766458894108
"2019-06","Visiting Friends & Relatives","Inbound",249.98884780642226
"2019-06","Other","Inbound",49.21612638025599
"2019-07","Religious","Inbound",43.21737152017112
"2019-07","Leisure","Inbound",87.4515506693559
"2019-07","Business","Inbound",327.6645560836365
"2019-07","Visiting Friends & Relatives","Inbound",211.1890574991855
"2019-07","Other","Inbound",80.34662773281097
"2019-08","Religious","Inbound",1880.890614441149
"2019-08","Leisure","Inbound",110.57241487237494
"2019-08","Business","Inbound",409.5424171335188
"2019-08","Visiting Friends & Relatives","Inbound",203.83896458523213
"2019-08","Other","Inbound",69.65796383580796
"2019-09","Religious","Inbound",147.16350915560295
"2019-09","Leisure","Inbound",32.182990815047965
"2019-09","Business","Inbound",230.5265967454366
"2019-09","Visiting Friends & Relatives","Inbound",178.43168261182626
"2019-09","Other","Inbound",46.85226082310401
"2019-10","Religious","Inbound",555.0759412657034
"2019-10","Leisure","Inbound",95.38697737054197
"2019-10","Business","Inbound",225.20119389197112
"2019-10","Visiting Friends & Relatives","Inbound",196.7252578824739
"2019-10","Other","Inbound",46.518316952663774
"2019-11","Religious","Inbound",671.2596683364131
"2019-11","Leisure","Inbound",103.930871612834
"2019-11","Business","Inbound",210.86019787381767
"2019-11","Visiting Friends & Relatives","Inbound",207.8355482073897
"2019-11","Other","Inbound",40.33792783878062
"2019-12","Religious","Inbound",964.4693647510596
"2019-12","Leisure","Inbound",228.87475422112504
"2019-12","Business","Inbound",232.24725715527484
"2019-12","Visiting Friends & Relatives","Inbound",268.3074524273336
"2019-12","Other","Inbound",41.332397414535016
"2020-01","Religious","Inbound",911.1237796734342
"2020-01","Leisure","Inbound",188.85127604357612
"2020-01","Business","Inbound",222.2903951155754
"2020-01","Visiting Friends & Relatives","Inbound",327.147689743121
"2020-01","Other","Inbound",87.46859596709002
"2020-02","Religious","Inbound",828.4133433776476
"2020-02","Leisure","Inbound",170.494877417768
"2020-02","Business","Inbound",159.01513380424925
"2020-02","Visiting Friends & Relatives","Inbound",257.3499898134052
