"Year","Trip Purpose","Type of tourist","Tourists"
2017,"Visiting Friends & Relatives","Domestic",772.4012694754821
2017,"Other","Domestic",80.7833896308977
2017,"Religious","Domestic",734.7215904660984
2017,"Leisure","Domestic",1121.4699900218695
2017,"Business","Domestic",91.36680693706548
2017,"Visiting Friends & Relatives","Domestic",769.1569953974189
2017,"Other","Domestic",74.33288675245693
2017,"Religious","Domestic",1719.956611429749
2017,"Leisure","Domestic",1210.3902130590914
2017,"Business","Domestic",48.298401784074116
2017,"Visiting Friends & Relatives","Domestic",1174.7627046451946
2017,"Other","Domestic",48.41252999415829
2017,"Religious","Domestic",700.1674070630612
2017,"Leisure","Domestic",1868.4016138656891
2017,"Business","Domestic",121.71554163102765
2017,"Visiting Friends & Relatives","Domestic",817.1541763366877
2017,"Other","Domestic",52.535714727259254
2017,"Religious","Domestic",600.682794272497
2017,"Leisure","Domestic",1704.759894750256
2017,"Business","Domestic",121.51152479389185
2017,"Visiting Friends & Relatives","Domestic",1366.6115333285
2017,"Other","Domestic",95.50187310582088
2017,"Religious","Domestic",1341.3450965753113
2017,"Leisure","Domestic",1514.780745722409
2017,"Business","Domestic",125.13099170408242
2017,"Visiting Friends & Relatives","Domestic",1014.7138510899596
2017,"Other","Domestic",109.26843595563041
2017,"Religious","Domestic",1083.0939549753668
2017,"Leisure","Domestic",1006.3829968357571
2017,"Business","Domestic",125.04980059310235
2017,"Visiting Friends & Relatives","Domestic",882.2837218368585
2017,"Other","Domestic",114.59577980917187
2017,"Religious","Domestic",898.6012011172277
2017,"Leisure","Domestic",1500.6807056496134
2017,"Business","Domestic",174.928911660932
2017,"Visiting Friends & Relatives","Domestic",1217.493526154953
2017,"Other","Domestic",140.12171100891243
2017,"Religious","Domestic",599.9108370386429
2017,"Leisure","Domestic",1222.3969552896106
2017,"Business","Domestic",114.32585566812958
2017,"Visiting Friends & Relatives","Domestic",1186.0283234844965
2017,"Other","Domestic",141.44866495732578
2018,"Religious","Domestic",1091.846343106964
2018,"Leisure","Domestic",1919.6384846704693
2018,"Business","Domestic",186.94350766950208
2018,"Visiting Friends & Relatives","Domestic",1359.9979586020527
2018,"Other","Domestic",79.92179810021217
2018,"Religious","Domestic",821.305930658329
2018,"Leisure","Domestic",1438.6660453491224
2018,"Business","Domestic",109.704936399923
2018,"Visiting Friends & Relatives","Domestic",892.0662243756068
2018,"Other","Domestic",84.80077502944827
2018,"Religious","Domestic",926.322096463319
2018,"Leisure","Domestic",1642.9046270041965
2018,"Business","Domestic",184.0569619089821
2018,"Visiting Friends & Relatives","Domestic",1053.9560891106016
2018,"Other","Domestic",101.59505057294102
2018,"Religious","Domestic",738.6313461374527
2018,"Leisure","Domestic",1333.8882646643574
2018,"Business","Domestic",125.48424248715217
2018,"Visiting Friends & Relatives","Domestic",773.5402560730553
2018,"Other","Domestic",76.0756514010138
2018,"Religious","Domestic",592.5834498860261
2018,"Leisure","Domestic",881.659351927492
2018,"Business","Domestic",83.02432660516762
2018,"Visiting Friends & Relatives","Domestic",567.9176354755127
2018,"Other","Domestic",46.77765980262916
2018,"Religious","Domestic",1560.1876380931892
2018,"Leisure","Domestic",1866.388962130994
2018,"Business","Domestic",77.85239279399275
2018,"Visiting Friends & Relatives","Domestic",1282.1502936361878
2018,"Other","Domestic",38.01935038001555
2018,"Religious","Domestic",562.7133159703069
2018,"Leisure","Domestic",1437.8630888282394
2018,"Business","Domestic",115.98235531077589
2018,"Visiting Friends & Relatives","Domestic",681.7819777217953
2018,"Other","Domestic",59.126561413728155
2018,"Religious","Domestic",1025.2987926940148
2018,"Leisure","Domestic",1546.710325128154
2018,"Business","Domestic",150.43425184676587
2018,"Visiting Friends & Relatives","Domestic",1421.2228686616718
2018,"Other","Domestic",90.63420108397044
2018,"Religious","Domestic",839.5507771547974
2018,"Leisure","Domestic",1378.6341246510951
2018,"Business","Domestic",137.8332578806456
2018,"Visiting Friends & Relatives","Domestic",1362.9815626624193
2018,"Other","Domestic",108.98275969551783
2018,"Religious","Domestic",691.1117207492357
2018,"Leisure","Domestic",1226.1895723649834
2018,"Business","Domestic",122.9700340517928
2018,"Visiting Friends & Relatives","Domestic",1271.8270621890754
2018,"Other","Domestic",110.14610325477281
2018,"Religious","Domestic",737.3789093031339
2018,"Leisure","Domestic",1111.7441009979864
2018,"Business","Domestic",157.3723700215612
2018,"Visiting Friends & Relatives","Domestic",1278.8218404392428
2018,"Other","Domestic",129.96972134454333
2018,"Religious","Domestic",775.6486536408157
2018,"Leisure","Domestic",946.9971831353389
2018,"Business","Domestic",109.63569859712977
2018,"Visiting Friends & Relatives","Domestic",1674.231594740735
2018,"Other","Domestic",53.779874809735894
2019,"Religious","Domestic",1177.2746758597261
2019,"Leisure","Domestic",2037.425144642064
2019,"Business","Domestic",175.0707614341964
2019,"Visiting Friends & Relatives","Domestic",1348.603473102118
2019,"Other","Domestic",78.54101474837229
2019,"Religious","Domestic",850.3925515987698
2019,"Leisure","Domestic",1487.7458228017692
2019,"Business","Domestic",124.76483888908551
2019,"Visiting Friends & Relatives","Domestic",936.3388866063975
2019,"Other","Domestic",89.69104696053523
2019,"Religious","Domestic",1069.007119022773
2019,"Leisure","Domestic",1671.0513211386585
2019,"Business","Domestic",189.4494424140934
2019,"Visiting Friends & Relatives","Domestic",996.8364213674496
2019,"Other","Domestic",80.37240143817934
2019,"Religious","Domestic",675.7479696491971
2019,"Leisure","Domestic",1415.9980275134988
2019,"Business","Domestic",122.63684144897597
2019,"Visiting Friends & Relatives","Domestic",850.4840742359515
2019,"Other","Domestic",69.27508015625894
2019,"Religious","Domestic",837.8636476026885
2019,"Leisure","Domestic",1050.5021172230545
2019,"Business","Domestic",66.32387993353052
2019,"Visiting Friends & Relatives","Domestic",768.8067306209929
2019,"Other","Domestic",42.40856149241684
2019,"Religious","Domestic",1595.575247059046
2019,"Leisure","Domestic",2295.0487210199653
2019,"Business","Domestic",79.29430172950002
2019,"Visiting Friends & Relatives","Domestic",1393.2165169148661
2019,"Other","Domestic",42.39863421741699
2019,"Religious","Domestic",704.6735568369273
2019,"Leisure","Domestic",1799.291482063779
2019,"Business","Domestic",124.1061632921127
2019,"Visiting Friends & Relatives","Domestic",1054.9289338907622
2019,"Other","Domestic",70.98777180453335
2019,"Religious","Domestic",1172.0242210651816
2019,"Leisure","Domestic",1766.481363529696
2019,"Business","Domestic",122.28968844205932
2019,"Visiting Friends & Relatives","Domestic",1763.5729186315675
2019,"Other","Domestic",77.20887675287985
2019,"Religious","Domestic",850.2898585901814
2019,"Leisure","Domestic",1526.4253686452744
2019,"Business","Domestic",130.5657422600978
2019,"Visiting Friends & Relatives","Domestic",1364.4287978343161
2019,"Other","Domestic",112.6305928426443
2019,"Religious","Domestic",719.5721527286879
2019,"Leisure","Domestic",1652.3225523659985
2019,"Business","Domestic",108.11107936462986
2019,"Visiting Friends & Relatives","Domestic",1346.1893100878217
2019,"Other","Domestic",87.58962680934988
2019,"Religious","Domestic",611.3747409689436
2019,"Leisure","Domestic",1579.7696567274472
2019,"Business","Domestic",114.10279805823693
2019,"Visiting Friends & Relatives","Domestic",1287.6474093434456
2019,"Other","Domestic",75.87738081018115
2019,"Religious","Domestic",782.8989177909618
2019,"Leisure","Domestic",1631.669936533962
2019,"Business","Domestic",104.58891148495596
2019,"Visiting Friends & Relatives","Domestic",1382.2065745321704
2019,"Other","Domestic",63.215684536180675
2020,"Religious","Domestic",1419.250977653273
2020,"Leisure","Domestic",2331.9004124853536
2020,"Business","Domestic",126.40740687144259
2020,"Visiting Friends & Relatives","Domestic",1231.9720287600724
2020,"Other","Domestic",114.65974136863167
2020,"Religious","Domestic",999.7623241334562
2020,"Leisure","Domestic",1779.5245103006866
2020,"Business","Domestic",172.72007709351738
2020,"Visiting Friends & Relatives","Domestic",742.8086720136284
2020,"Other","Domestic",118.27308419001217
2020,"Religious","Domestic",848.4428247865433
2020,"Leisure","Domestic",1936.5094918860414
2020,"Business","Domestic",119.8291421547467
2020,"Visiting Friends & Relatives","Domestic",862.593636119029
2020,"Other","Domestic",63.87275420285707
2020,"Religious","Domestic",0
2020,"Leisure","Domestic",22.407640474876462
2020,"Business","Domestic",0
2020,"Visiting Friends & Relatives","Domestic",46.65156609603932
2020,"Other","Domestic",0
2020,"Religious","Domestic",0
2020,"Leisure","Domestic",14.814405700888269
2020,"Business","Domestic",0.991784326867628
2020,"Visiting Friends & Relatives","Domestic",33.01632295932534
2020,"Other","Domestic",0
2020,"Religious","Domestic",99.52663402277005
2020,"Leisure","Domestic",494.75276496804986
2020,"Business","Domestic",38.30302332788008
2020,"Visiting Friends & Relatives","Domestic",403.88774724079235
2020,"Other","Domestic",9.89102716120547
2020,"Religious","Domestic",9.999999999999686
2020,"Leisure","Domestic",2423.2633363800796
2020,"Business","Domestic",122.0264131125052
2020,"Visiting Friends & Relatives","Domestic",1621.8858502885466
2020,"Other","Domestic",80.5960736980695
2020,"Religious","Domestic",0
